id,date,screenName,texte,type,nbre_like,nbre_retweet,type_vaccin
1375959954906054659,2021-03-27 23:56:32,Indoartisk5,"@MinisteredelaS1 vaccin première injection d'Astrazeneca ,il faut se faire vacciner massivement mais il faut absolument les doses !! J'encourage toutes les personnes à se faire vacciner car c'est comme cela que l'on s'en sortira 👊🏻💉 💙💙 https://t.co/AbyvSKd2eX",tweet,0,0,astrazeneca
1375902325244628994,2021-03-27 20:07:32,CaruluP,"Avec ces chiffres là , @EmmanuelMacron va Reconfiner le pays.
#COVID19 #COVID19france #coronavirus #VaccinationCovid #vaccination #VacunaCOVID19 #Pfizer #Moderna #PfizerVaccine #VaccinoAntiCovid #PfizerBiontech #AstraZeneca https://t.co/fu1AqpI9oP",tweet,0,0,astrazeneca
1375867842764099595,2021-03-27 17:50:30,stecolombe,"22 DAY Astrazeneca = 100% protection against serious Covid-19! à Paris, France https://t.co/Hr3Vv96aEZ",tweet,0,0,astrazeneca
1375863546370752514,2021-03-27 17:33:26,CaruluP,"190 morts en Corse en 1 an... bientôt 200 morts 🙏🏻
#COVID19 #COVID19france #coronavirus #VaccinationCovid #vaccination #VacunaCOVID19 #Pfizer #Moderna #PfizerVaccine #VaccinoAntiCovid #PfizerBiontech #AstraZeneca https://t.co/rq1tYSqMzC
#COVID19 POINT DE SITUATION au 27 mars 👇 https://t.co/8Eyfyy1XpR",quote,0,0,astrazeneca
1375859098315542529,2021-03-27 17:15:45,Franc_de_Sousse,"Une #vaccination comme on en rêve en #France, mais bon ce n'est qu'un #rêve. 
Nous on a @EmmanuelMacron et @JeanCASTEX, un #cauchemar qui n'en finit pas quoi.

#COVID19 #BlanquerDemission #AstraZeneca https://t.co/uJIDMs5tJZ
Aujourd’hui une bonne partie de l’équipe ⁦@F2Washington⁩ vaccinée dans ce stade des Ravens de Baltimore. Parking guidé, militaires de la garde nationale, un soldat de l’US Air Force nous enregistre. La machine de guerre américaine: 3,4 millions de vaccinés rien qu’hier ! https://t.co/oVtaySI8Sv",quote,0,0,astrazeneca
1375742302442954754,2021-03-27 09:31:39,soleildemarseil,Donc la moitié du flacon de vaccin AstraZeneca est partie à la poubelle ce matin. Je ne pense pas être un cas unique. Ici des médecins INTERDISENT à leurs patients de se vacciner avec. Poke @olivierveran,tweet,19,11,astrazeneca
1375713183814520833,2021-03-27 07:35:57,lepouquipique,"Et si au lieu de faire chier avec le vaccin AstraZeneca, on conseillait juste aux gens de prendre un peu d’aspirine après la vaccination?
#JeDisCaJeDisRien",tweet,18,0,astrazeneca
1375712196651520000,2021-03-27 07:32:01,LaurentPari9,L'AstraZeneca est bien lié aux thromboses et aux caillots sanguins https://t.co/iuOkVpvWmR,tweet,1,0,astrazeneca
1375708366643810304,2021-03-27 07:16:48,CaruluP,"@LCI Et les vaccins 💉 
#VaccinationCovid #vaccination #VacunaCOVID19 #Pfizer #Moderna #PfizerVaccine #VaccinoAntiCovid #PfizerBiontech #AstraZeneca #COVID19 #COVID19france #coronavirus",tweet,0,0,astrazeneca
1375583493665779715,2021-03-26 23:00:36,Emmanuelle_SF,"#Vaccin #AstraZeneca : l’existence d’un risque « rare » de thrombose confirmée par l’Agence nationale de sécurité du médicament 
https://t.co/EQKncyglXZ",tweet,1,0,astrazeneca
