id,date,screenName,texte,type,nbre_like,nbre_retweet,type_vaccin
1420800192924766211,2021-07-29 17:35:37,VassasPatrick,@BSengayrac Idem pour Janssen..  Le pactole sanitaire.... pour quelques uns..,tweet,1,0,janssen
1420731220481150984,2021-07-29 13:01:33,MoctarFama,"Le vaccin 💉 #Janssen (ou Johnson 🤦🏽‍♂️) est-il bien recommandé par les spécialistes ?
Est-il éligible au passe sanitaire ?
#vaccination 
#VaccinezVous 
#Variant 
#VaccinationObligatoire",tweet,0,0,janssen
1420290343849897989,2021-07-28 07:49:40,magicdic1,"@TheSpaceNoob @DelormeEric2 @dadouPe7 Rapport janssen page 6
https://t.co/g1gEIKGM53",tweet,2,0,janssen
1420261620937330689,2021-07-28 05:55:32,magicdic1,"@TheSpaceNoob @DelormeEric2 @dadouPe7 761 DC Pfizer, 44 DC Moderna , 7 DC Janssen , 171 DC Astrazeneca ! Source rapport de surveillance des vaccin de L' ANSM dispo sur leur site ! Soit un total de 983 DC en France !",tweet,2,0,janssen
1419946778695188491,2021-07-27 09:04:28,ansart4,"Pfizer, Moderna, AstraZeneca, Janssen : que contiennent les vaccins autorisés en France ?
https://t.co/hZD4ejln0t

Actualités à la une
https://t.co/7wJWb8D9n2",tweet,0,0,janssen
1419611366126727176,2021-07-26 10:51:39,CelineEyes,@janssen_ms Merci pour le partage,tweet,1,0,janssen
1418621624975302659,2021-07-23 17:18:46,Priscilla_G_G,"@Sante_Gouv @olivierveran @EmmanuelMacron @RolandLescure @JBLemoyne 

Franco-Portugaise vaccinée depuis 2 mois #Janssen aux US et résidente au Tchad.

Aucun accès au #PasseSanitaire et facturée 60 euros pour un test PCR car non affiliée à la sécu ! (Mon 18ème test!)

#FDE",tweet,1,0,janssen
1418305133499277314,2021-07-22 20:21:09,CelineEyes,@janssen_ms Merci pour le partage,tweet,1,0,janssen
1418167082261395331,2021-07-22 11:12:35,ROUSSELTHOMASC1,"Des rdv Doctolib suspendus si on on déstocke pas le Janssen ? 🤧 Est-ce bien cela ? @EELVBourgogne
https://t.co/b48LyNiGNz",tweet,0,0,janssen
1418144254321438721,2021-07-22 09:41:52,Arlaten38,@GG_RMC Faut passer au Janssen pour tous !,tweet,0,0,janssen
1418137523788845057,2021-07-22 09:15:08,ROUSSELTHOMASC1,"@covidliste Je cherche une dose très spécifique étant une personne à risques... C'est le Janssen qui est disponible en quantité suffisante.
Comment sur covid liste préciser l'injection attendue ? J'ai fait partie des équipes de hot line de Gema/Hcl en délégation privée en entreprise.",tweet,0,0,janssen
1417965224964104193,2021-07-21 21:50:28,mp_lacoste,"Au bureau je passe mon temps sur #ViteMaDose #doctolib à chercher des rdv #janssen pour les « flippés » du #vaccin (1 seule dose)

Et j’en suis très heureuse ! Pcq au final ce qui compte c’est qu’ils se vaccinent. Peu importe le vaccin ou leurs motivations.",tweet,2,0,janssen
1417768012174725121,2021-07-21 08:46:49,Arlaten38,"@LCP @Valerie_Rabault @JeanCASTEX Pour aller plus vite il y a le Janssen...
Le mono-dose !",tweet,0,0,janssen
1417708878670749701,2021-07-21 04:51:51,xavier9394,"@AminMbarki Vaccin à vecteur viral comme Janssen est réservé uniquement au plus de 50 ans.
Le vaccin ARNm est interdit aux femmes enceintes en dessous du 1er trim ou souhaitant l'être dans les prochains semaines ou mois (aux hommes aussi). 
L'utilisation ARNm est pour les thérapies géniques",tweet,1,0,janssen
1416829402734907394,2021-07-18 18:37:07,CORNEVILLE,Appel vidéo de mon fils aîné  au Mozambique   situation très critique  sur le plan de la pandémie et sur le plan politique   .  La vaccination est ouverte depuis peu  1 seul vaccin  #Janssen  que vaut il ce vaccin!!,tweet,19,3,janssen
1416498197653037068,2021-07-17 20:41:02,xacast66,"@septdecoeur @mariealablouse @ame_lance Pour la procédure de mise sur le marché il faut attendre le rolling review et les analyses EMA/ANSM. Tant qu'ils n'ont pas dépose de dossiers, c'est bloqué. Faut compter deux trois mois comme pour le Janssen a l'époque.",tweet,2,0,janssen
1416029970288218113,2021-07-16 13:40:28,MairieStFlorent,"📍 Le cabinet du Dr Jochmans se situe dans la montée de la Punta au croisement de la rue Ste Catherine, en face de l'immeuble Santa Catalina.

🧪 Il dispose des vaccins : Astra Zeneca, Moderna et Janssen (une seule injection). 

Merci de partager l'information.",tweet,6,7,janssen
1415178931192401920,2021-07-14 05:18:44,ansart4,"Un ""risque accru"" de développer le syndrome de Guillain-Barré avec le vaccin Janssen
https://t.co/ie9VBr9wlW

Actualités à la une
https://t.co/7wJWb8D9n2",tweet,0,0,janssen
1415078158240559106,2021-07-13 22:38:18,ocellophane_,"Janssen Janssen il m’a filé un trip gratuit de 2j 😎😎😎😎 https://t.co/Bq9vVblLLo
du coup c'est quel vaccin qui donne des gros seins ?",quote,3,0,janssen
1414818132267606016,2021-07-13 05:25:03,TiffanyGlitter_,"@olivierveran Vous vous plaignez qu'on ne se vaccine pas mais vos centres de vaccination ne sont même pas accessibles aux personnes autistes. Deux mois que je cherche une solution pour être vacciné 🤷‍♀️.
Et laissez les moins de 55 ans se faire vacciner avec Janssen !!!!",tweet,0,0,janssen
1414676076735959048,2021-07-12 20:00:34,nssjfrr0,@adkheyy93 @ynss_i Bah non jte jure c les 2 mdrrr je l’ai eu et tout le monde l’a eu au bout de la 2 eme fois. A moins que tu fasse le vaccin qui nécessite qu’une injection ( janssen) qui celui ci c’est une dose unique.,tweet,0,0,janssen
1414615879451561986,2021-07-12 16:01:22,Schwezy73,@lils_li @RMCinfo Si on veut éviter les vaccins Arn on a le Janssen,tweet,0,0,janssen
