id,date,screenName,texte,type,nbre_like,nbre_retweet,type_vaccin
1387875722644033542,2021-04-29 21:05:32,tprebay,"Ça fait hyper bien dit comme ça. Toujours pas vu une personne connaissant vaguement le sujet soutenir cette ineptie totale. Moderna a levé son brevet ça a changé quoi à la production ? De la vieille com politique moisie. https://t.co/OZCJYKs2EN
🚨 Les députés 🇪🇺 LREM, LR, RN et certains PS réunis pour s'opposer à la levée des brevets sur les vaccins.

Ça a le mérite de la clarté : tout ce petit monde préfère défendre les profits des big pharmas plutôt que de sauver des vies ! https://t.co/BtrZJjY2ct",quote,1,1,moderna
1387793396874547203,2021-04-29 15:38:24,SylvieBernhard,@BBR_06 Vaccinée avec Moderna 💉 et chacun est libre de se faire vacciner où pas.,tweet,1,0,moderna
1387788532429770755,2021-04-29 15:19:04,LACPURE,Accord entre Moderna et Lonza pour doubler la production à Viège https://t.co/6yd9VuH2yB,tweet,0,0,moderna
1387778014189137920,2021-04-29 14:37:16,SylvieBernhard,"Coucou, voilà c’est fait 1 ère injection 
vaccinée 💉 #VaccinationCovid #Moderna Se protéger, pour protéger les autres 🙏🏼💞 https://t.co/aDZNjiP4wg",tweet,22,1,moderna
1387721345723731972,2021-04-29 10:52:06,Bigot44408011,"MODERNA va investir pour produire 3 milliards de son vaccin en 2022🤔
Ça va s'arrêter un jour ?",tweet,23,6,moderna
1387676996252090370,2021-04-29 07:55:52,JFJagle,"👉 surprise, #OuPas 👉 2161 événements thrombotiques ont été rapportés, dont 1197 pour le vaccin de Pfizer, 325 pour celui de Moderna et 639 pour celui d’AstraZeneca, sur une période de 94 jours. #COVID19 https://t.co/QPqHL1RWMD
Vaccins anti-Covid-19 et cas de thrombose : données internationales de pharmacovigilance https://t.co/bJZJu3mlcV https://t.co/NY1nlXXpar",quote,1,0,moderna
1387523556389629956,2021-04-28 21:46:09,patmarseillaise,Normal que 48hrs après mon vaccin moderna j'ai extrêmement mal au bras ? 😞 je souffre le martyr 😭😭,tweet,1,0,moderna
1387478692054638592,2021-04-28 18:47:52,RubioStphanie3,"'' Connectez-vous avec ceux qui vous rappellent qui vous êtes ''...
@fannylunaire on #instagram
 https://t.co/IsQweo67I7
#Moderna, #music, #modeling, #bershkastyle, #modelo, #fashionNews, #shootingphoto, #beauty, #modelnantes, #Nantes https://t.co/UCgC9H7K1h",tweet,2,0,moderna
1387437791362101249,2021-04-28 16:05:21,anthony_aube,"Deuxième injection contre la #COVID19 faite ! 💉😁

➡️ Merci à la ville de #Vittel pour son travail !

Il reste beaucoup de créneaux disponibles ! 
Rdv sur ⤵️ https://t.co/rP9WWJZZyM https://t.co/YwcvUjblZ1",tweet,0,0,moderna
1387433753492983811,2021-04-28 15:49:18,asrocuet,"Qui était vient inscrite sur liste d'attente et vient d'être appelée pour bénéficier d'une dose restante du Moderna ? J'ai envie de pleurer de joie (en plus je me sens tellement jeune ici) 
#COVID19 #VaccinationCovid #vaccinPourTous",tweet,12,0,moderna
1387388623314636805,2021-04-28 12:49:58,SawMarie,"@Cap_vat @Olivier_Truchot @olivierveran On peut ... selon l'endroit où vous allez vous faire vacciner. A la pharmacie oi chez le médecin, Astrazeneca. 
Dans les centres Pfizer ou moderna.",tweet,0,0,moderna
1387361562374164481,2021-04-28 11:02:27,mcLaterit,"@sanofi rire ou @Sanofi pleurer? #Sanofi français.!

 incapables de développer de vaccin  et qui maintenant va produire aux États Unis.....des Moderna. 
. https://t.co/57yBA7a2cq https://t.co/IGNDdOJtKq
#COVID19 et profits. Sanofi, toujours incapable de produire un vaccin et gavé de Crédit d'impôt recherche, est second au palmarès indécent de distribution de dividendes en 2021 https://t.co/UEqRxGLa23 https://t.co/qdIzrO0kOb",quote,0,0,moderna
1387098140625543171,2021-04-27 17:35:42,_GaLaK_,"@jgeerlings 60 en centre (Pfizer/Moderna), 55 chez ton MG/ta pharmacie (AZ) ?",tweet,1,0,moderna
1387080704362700808,2021-04-27 16:26:25,fanette_m,"Moi j’espère secrètement avoir le Moderna 😁 https://t.co/9EGbGwEpzE
C’est juste incroyable les patients qui refusent le Moderna et qui repartent non vaccinés. On a tellement parlé du Pfizer qu’ils ne veulent plus que ça. Quelle tristesse.",quote,0,0,moderna
1387024637037629441,2021-04-27 12:43:37,amethyste03,"@Dr_moji Moderna perso me va, tant que c'est pas Astra",tweet,0,0,moderna
1387013415374311426,2021-04-27 11:59:02,tish44600,@Dr_moji J’ai eu mes deux doses avec le Moderna et tout va bien 😘🤙,tweet,1,0,moderna
