id,date,screenName,texte,type,nbre_like,nbre_retweet,type_vaccin
1440437255957463040,2021-09-21 22:06:18,FaucheuxIrene,"Elle rajoute ,mon père a été faite le Pfizer,moi moderna et ma mère Aztra Zeneca . Pour voir la différence . Quelle famille de fous 🙄 @AnaisLefaucheux @LeSoldatG1 @VlfMichael @VSainement @cryptosophies @les_deqodeurs @Qode171 @CerveauxNon @vecumedia @ReservoirApps @Quisuisje13",tweet,4,0,pfizer
1440385490700537870,2021-09-21 18:40:36,LeMarshall100,"#PfizerBiontech voudrait rendre obligatoire la #vaccination à nos enfants de 5 à 11 ans ?
#TouchePasAuxEnfants

https://t.co/lzlYqBD83q",tweet,0,0,pfizer
1440353258082484230,2021-09-21 16:32:31,chloe_sorel,Je suis dans le futur !!! Merci le Pfizer https://t.co/QVoADeuPjl,tweet,28,0,pfizer
1440349248281735181,2021-09-21 16:16:35,lerpierre,@Dr_Agibus @DrePetronille Pour le vaccin covid19 Pfizer c'est bien un document écrit par Pfizer et envoyé à la FDA.,tweet,0,0,pfizer
1440322373278855179,2021-09-21 14:29:48,LlaoLine,"Mais à la Hussarde comme à l'Allemande celà rapportait beaucoup plus en gains, pouvoir, droits extraordinaires exhorbitants  enrichissement à l'oeil et Depopulation.
https://t.co/iCgyzE5Owu",tweet,0,0,pfizer
1440308954597187587,2021-09-21 13:36:29,CedCannes,"@DeauxJean @Slang99 @HumanPatriot1 @Starslightskies Vla les sources en plus.
Dose de vaccin composée à 99% d'oxyde de graphene solide à température ambiante  c'est un tout petit peu plus qu'une nano particule invisible planquée dans une dose 😅
https://t.co/qegplW4KXu",tweet,0,0,pfizer
1440050808389652484,2021-09-20 20:30:42,ClothildeOllier,"@ForestFrancis2 @pfizer @BFMTV Montpellier Unie... sauf avec les sans abris, les personnels de mairie, les précaires, les habitants des bidonvilles, les épiciers de nuit.... bon sauf avec les pauvres et les précaires en fait !",tweet,1,0,pfizer
1440046473647771656,2021-09-20 20:13:28,GatienAlbert,"@Gabrielc6472827 @medicalfollower Pourquoi cette folie de vouloir vacciner tout le monde ? C'est pour éviter d'avoir à comparer dans quelques années avec un groupe non vacciné qui risque d'être en meilleure santé ? Ils ont même vaccinés le groupe témoin des etudes Moderna Pfizer, on n'aura même pas la comparaison",tweet,4,2,pfizer
1440025801509019648,2021-09-20 18:51:20,ClothildeOllier,Mais qui est assez taré pour avoir prêté son enfant pour que @pfizer fasse des tests du vaccin.... #VaccinObligatoire #Vaccin   https://t.co/hQ4Njzx51Z via @BFMTV,tweet,6,3,pfizer
1440004101102784519,2021-09-20 17:25:06,menalahy,"L’agence américaine du médicament rejette les injections de rappel de Pfizer, leur efficacité mise en cause
https://t.co/c2Bh00pJnz",tweet,0,0,pfizer
1439963622973878286,2021-09-20 14:44:15,lePlaymobil28,À la radio : Pfizer et Biontech annonce l'efficacité de leur vaccin sur les 5-11 ans. Étude bientôt disponible et demande d'autorisation du vaccin sur les 5-11 ans déposée à l'EMA.,tweet,5,0,pfizer
1439939498532614146,2021-09-20 13:08:23,joeljosie,"Pfizer et BioNTech annoncent que leur vaccin contre le Covid-19 est sûr pour les 5-11 ans , les détails : https://t.co/gmZB5Zoyxw",tweet,1,0,pfizer
1439938697332412416,2021-09-20 13:05:12,Bouhadjarabdel9,"@CNEWS On va bien voir a la télé des pigeons qui vont courir vacciné leurs enfants ! Le micro tendu vers la personne "" ben oui je préfère vacciné mes enfants contre le delta ! On c'est jamais vous savez"" et hop la propagande est relancé, faut bien ramener de l'argent Pfizer bien sûr.",tweet,4,0,pfizer
1439919605619859461,2021-09-20 11:49:21,Edouard_Lhomme,"Annonce des premiers résultats préliminaires positifs de phase 2/3 de sécurité et d’immunogénicité du vaccin Pfizer chez les enfants 5-11 ans
- 2268 participants, dose + faible que les &gt;= 12 ans (10ug )
- Immunogenicité non inférieure aux 16-25 ans https://t.co/shx8x0ujR7
Preliminary safety &amp; immunogenicity data for Pfizer's #Covid vaccine in kids aged 5 to 11 looks promising &amp; the company hopes to submit the data to @US_FDA this month. @matthewherper reports. https://t.co/ENjzL0pOkS",quote,2,0,pfizer
1439918575209304071,2021-09-20 11:45:15,cocagne,En représailles contre le coup de Jarnac des sous marins australiens Macron va t il virer Mac Kinsey avec dans leurs bagages Pfizer et BlackRock? On bien va t’il gesticuler au diapason de la classe politique française qui en fait ostensiblement trop en parlant de quitter l’OTAN?,tweet,0,0,pfizer
1439843630987071495,2021-09-20 06:47:27,vizouine,"#CorpoHebdo 
@pfizer, @sipa-@OuestFrance … Les 4 infos corpo à retenir cette semaine https://t.co/PClD1twdv5 - via @bymaddyness /",tweet,0,0,pfizer
1439672129776128003,2021-09-19 19:25:58,Franc_de_Sousse,"Le banquier de @Pfizer aussi. https://t.co/fWsA72A2cF
Notre première priorité est d'accélérer la vaccination mondiale 🌍

C'est pourquoi l'UE 🇪🇺 investit 1 milliard € pour augmenter les capacités de production d'ARN messager en Afrique, et donnera 200 millions de doses  supplémentaires pour les pays à faibles revenus 🤝

#SOTEU https://t.co/G6kSalbtoU",quote,1,1,pfizer
1439577976526487558,2021-09-19 13:11:50,strumchloupfer,"Mais non, seul Pfizer est reconnu par la bête https://t.co/ezPItmhcoa
Le père d'une amie qui vit à Madagascar, vacciné pour venir en France, ne peut finalement pas entrer en France parce que la marque de son vax n'est pas homologuée ici...hallucinant ! 🙄",quote,1,0,pfizer
1439542773925957639,2021-09-19 10:51:57,strumchloupfer,"Le gouv entier est actionnaires chez pfizer et il vont acheter chez les concurrent, tu déconne? https://t.co/oZ4JxBvE3b",tweet,1,0,pfizer
1439541818409033735,2021-09-19 10:48:09,Pressagrun,"#Pfizer : 
Voici la très #mauvaise #nouvelle #dévoilée par une #enquête 
https://t.co/ztcU0tP36k via @YouTube",tweet,0,0,pfizer
1439517215246716931,2021-09-19 09:10:23,fafalou0606,"@MatthiasInbar bjr je suis Français vacciné 2 fois PFIZER . Mes enfants ont 9 ans / 6 ans et 1 an donc non vaccinés 
A ce jour ai je le droit de me rendre en Israel ? A quelles conditions ? 

Des changements sont ils à prévoir d ici fin Octobre qui serait ma date de voyage",tweet,0,0,pfizer
1439513341358231555,2021-09-19 08:55:00,fafalou0606,"@sererojonathan bjr je suis Français vacciné 2 fois PFIZER . Mes enfants ont 9 ans / 6 ans et 1 an donc non vaccinés 
A ce jour ai je le droit de me rendre en Israel ? A quelles conditions ? 

Des changements sont ils à prévoir d ici fin Octobre qui serait ma date de voyage",tweet,0,0,pfizer
1439505447074009091,2021-09-19 08:23:37,Gab_Manet,@FrerePenseur @FCOUILBAULT1 @Rofrano47 Allez... Pfizer à mis 6 mois à découvrir que son vaccin se conservait à l ambiante (et que les -70 degrés initiaux qui faisaient chier tout le monde et favorisaient Astrazenecca étaient inutiles ?). Allons... Une manip de 2 jours faite au bout de 6 mois ? Crédule vous êtes.,tweet,1,0,pfizer
1439450863106396167,2021-09-19 04:46:44,vanessakamel,"Il a reçu une dose de #Pfizer 😂 https://t.co/xb7ysbwyMQ
Bonjour, 👋
C'est dimanche ! Vous pouvez rester encore un peu au lit...

Belle journée à toutes et à tous, bon courage à ceux qui bossent et bonne fête à toutes les Émilie 🤗 https://t.co/KRdel8AZxP",quote,1,1,pfizer
