id,date,screenName,texte,type,nbre_like,nbre_retweet,type_vaccin
1401491979842822145,2021-06-06 10:51:41,HtdeMazargues,"Deux injections #AstraZeneca après, retour à l'assemblée de #MarseilleSud, chaleureux accueil de la communauté, rencontre avec des parents d'élèves de 6ème. https://t.co/zBRsL7Zumv",tweet,5,0,astrazeneca
1400917538570215430,2021-06-04 20:49:03,philmoi,"@philippejuvin @EricTopol ERRARE HUMANUM EST. Le vaccin AstraZeneca n’est pas efficace contre le variant sud africain. Son utilisation est interdite 🚫 en Afrique du Sud .
Pour l’instant pour nos patients contaminés l’Azithromycine  Ivermectine ,Zinc ,vitamine D sont efficaces contre tous les variants 👍",tweet,27,18,astrazeneca
1400818782260576256,2021-06-04 14:16:38,T0pol,Ah mais c’est Lundi que j’ai ma 2e injection de 💉 astrazeneca … 12 semaines après la première.,tweet,0,0,astrazeneca
1400805388661018624,2021-06-04 13:23:25,DavidBoyer69300,"@Mary__Mimo @GuillaumeRozier Les anglais ont plus vaccinés que nous, mais eux c'est à l'astrazeneca en majorité... Ça va pas leur faire de la pub si le lien de cause à effet est avéré.",tweet,10,0,astrazeneca
1400776965259411456,2021-06-04 11:30:28,vponsinet,"Vaccination #COVID19 💉terminée !
✅ #AstraZeneca en mars
✅ #Pfizer #Comirnaty hier matin
➡️ À moi les concerts d’Indochine et les terrasses 🍻🍹 https://t.co/QUqQYYyoIL",tweet,2,0,astrazeneca
1400394774394322945,2021-06-03 10:11:46,Emre_wsh,Se vacciner avec AstraZeneca c’est un suicide ?,tweet,0,0,astrazeneca
1400139706160095235,2021-06-02 17:18:13,StephanieHochet,@sergeJONCOUR Merci #AstraZeneca,tweet,0,0,astrazeneca
1400124793257705490,2021-06-02 16:18:58,julien_gsmt,"Olivier Veran “abattu” de ne pas l’avoir annoncé lui même au JT de TF1 ce soir aurait bu une dose d’AstraZeneca https://t.co/C0urYB2Yne
🔴 Emmanuel #Macron annonce que la vaccination sera ouverte aux 12/18 ans à partir du 15 juin #COVID19",quote,2,0,astrazeneca
1400099764142841859,2021-06-02 14:39:31,AngeFleche,Q SCOOP - Enquête ouverte après la mort d’une sexagénaire ayant reçu une dose d’AstraZeneca . https://t.co/BgXBD9QOSd via @qactusinfos,tweet,0,0,astrazeneca
1399678129258610688,2021-06-01 10:44:05,Matt_Nova,"J'ai un collègue qui agit comme ci il était drogué, c'est vraiment chaud je ne comprends rien à ce qu'il dit et askip ça vient de Astrazeneca",tweet,1,1,astrazeneca
