id,date,screenName,texte,type,nbre_like,nbre_retweet,type_vaccin
1425893974791831552,2021-08-12 18:56:30,The_Rima_66,"Le Parisien: Covid-19 : l'Union européenne se penche sur de nouveaux effets secondaires éventuels des vaccins Pfizer et Moderna.
https://t.co/uP9gXIQucf

via @GoogleNews",tweet,2,2,moderna
1425791028683059203,2021-08-12 12:07:25,kermitpeg,"@fischjohn1 Hello mon John 👋 c'est vrai que ça va chauffer 🔥 la température est de 30° à l'ombre à Blois et il est 14h00 🌞
Je vais enfin recevoir ma première dose de Moderna à 17h00 👍
Excellent jeudi mon John, bonne balade 🚲 et à toute 😜
Gros gros bisous 😚😘💋💘 https://t.co/LLbZX1pz2m",tweet,3,0,moderna
1425765033137557509,2021-08-12 10:24:07,flaurent67,@CAudigierValett Une question conne me suis fait un TROD sérologique à la pharma et il est ressorti malgré schéma vaccinal terminé le 2 février au PFizer corminaty  qu’il n’y aurait ni IgG ni IgM faut il faire sérologie en laboratoire et si neg refaire une dose en moderna spikevax?,tweet,0,0,moderna
1425691383973699584,2021-08-12 05:31:28,NPOMMERET,"#lamatinale le vaccin une arme qui tue ? 
Que nous disent les chiffres de l'ANSM

944 décès sur une période de 1 mois environ 

Source : ANSM
https://t.co/FQPnEYGWPb

#Pfizer - BioNTech Comirnaty 
 Décès 761

Astra Zeneca – Vaxzevria Décès  170 

Moderna  13 décès",tweet,1,3,moderna
1425537667471749129,2021-08-11 19:20:39,kermitpeg,"@jyrl727763 @fischjohn1 @bobsympa44 @LMP44350 @manuleo67 @LTinette @cedricchouchou1 @jmr31000 @Jmriredetoutou1 @Freddie57051365 @gravenvie2 @KARIMCHALABI14 @samirrebeuu @Alekskg @Nominoe14 @Nathanael0094 @PhilPhi89256998 Moi aussi je t'appelle demain 🤣😅... si je survis à ma première dose du Moderna car ça y est, j'ai le feu vert de mon médecin hospitalier pour me faire vacciner 👍😘💋🌈",tweet,4,0,moderna
1425465461609803784,2021-08-11 14:33:44,strumchloupfer,"Abonnement ""rente à vie"" pour les labos , comme prévu en plus ils doublent les prix , comme prévu.  Les action Pfizer- moderna  vont re-exploser https://t.co/vuz9mJ7Yeg
🇫🇷 FLASH - Le gouvernement va lancer une ""campagne de rappel"" pour une 3e dose à partir de mi-septembre. (prise de parole) #COVID19France",quote,0,0,moderna
1424971616627216384,2021-08-10 05:51:22,stationsailor,"@jomanzan0 @sandrafellous_ Le mari de ma fille , 42 ans 1m90 95kgs 1ere dose Moderna fievre et tachychardie pendant 4 jours , 2 eme dose la semaine derniere  , apres 4 jours mini AVC ,coté gauche du visage paralysé impossible d ouvrir la paupiere transporté a l hopital ,effets disparus apres 4 jours",tweet,0,0,moderna
1424952543289937920,2021-08-10 04:35:35,NPOMMERET,"#lamatinale 🔴 Pharmacovigilance du vaccin Moderna en France 🇫🇷 (ANSM)

👉 44 morts depuis le début de la campagne vaccinale.

↪ La version officielle des médias déjà ❓

https://t.co/FQPnEYGWPb",tweet,4,3,moderna
1424865946120986628,2021-08-09 22:51:28,CaruluP,@inconnuuniverse @BFMTV Oui mais ça sera Pfizer ( même vaccin avec quelques modifications contre les variants) et pas Moderna ; Sanofi etc...,tweet,2,0,moderna
1424802237142945800,2021-08-09 18:38:19,EinsteinPhoenix,@ElGrandeFlaco @larbiwesh Dès que Larbi a le dos tourné je lui enfonce l’aiguille de Moderna dans l’épaule,tweet,2,1,moderna
