id,date,screenName,texte,type,nbre_like,nbre_retweet,type_vaccin
1401633368345923596,2021-06-06 20:13:30,MinkaOceane_Dr,Effectivement le vaccin #PFIZER💉 est le plus plébiscité par les français. Bravo 👏👏 https://t.co/r1mtkoTawG,tweet,2,0,pfizer
1401630438293135360,2021-06-06 20:01:52,julien06200,@T0pol Moi j'ai eu mon deuxième Pfizer vendredi je suis ravi.,tweet,1,0,pfizer
1401617448927903754,2021-06-06 19:10:15,AigleRoyal06,"@nr9410 @superfly_FR @OnoSendaiComp @132_dc @Acles__ @raoult_didier @lemondefr Oui... Parlons des problèmes Judiciaires de Pfizer dans ces cas là aussi... Pk ne parle t on pas de votre bien aimée Mme Buzyn aussi !? Comment se fait-elle que cette grande dame ai interdit la commercialisation de l'hydroxychloroquine avant la pandémie de ce covid ""si meurtrier""",tweet,0,0,pfizer
1401598437519466497,2021-06-06 17:54:42,denis0452,@Le_Figaro Mémé t'es sûr qu'ils t'on mis du Pfizer dans ta piqûre ?,tweet,3,0,pfizer
1401557732445065225,2021-06-06 15:12:57,ANTOINECAUP63,2ème dose #Pfizer injecté toujours pas de réception 5G ou encore d’effet secondaire c’est plus ce que c’était ces vaccins 😜💉 ! Sinon vacciné vous les équipes de la grande halle d’Auvergne sont super bien organisés ! #VaccinationCovid #ARSAuvergne,tweet,2,0,pfizer
1401526424566218760,2021-06-06 13:08:33,LudovicDECROO,"2e dose du #Vaccin #Pfizer au @zenithdelille ✅
#vaccinated #lille #COVID19france https://t.co/z1aptfypGq",tweet,2,0,pfizer
1401521613867257858,2021-06-06 12:49:26,CorinneDuhamel,"@CAudigierValett @CadranelJ @atlantico_fr @olivierveran @Sante_Gouv Au lieu de dire ""décalez votre 2e injection pour pouvoir partir en vacances"", il faudrait plutôt l'avancer de 15  j ! L'AMM du Val Pfizer prévoit une 2e injection à J+21 et nous sommes à J+40. Or, il vaudrait mieux que les gens partent avc 1 vaccination complète pltôt q 1dose.",tweet,4,3,pfizer
1401475432768315394,2021-06-06 09:45:55,AstaBruti35,Ptdr j'ai failli recevoir Astrazenecanal au lieu du grand maître allemand Pfizer #sueur,tweet,0,0,pfizer
1401461523487277059,2021-06-06 08:50:39,BPelliercuit,"Et de 2, dimanche #vaccination #Pfizer prêt pour pour le retour au travail sur site. @TousAntiCovid à jour https://t.co/rZUxSa8rSZ",tweet,15,2,pfizer
1401289896661237761,2021-06-05 21:28:40,MurielleLombard,@slamgot @ThierryDl33 @GuillaumeRozier @Lechevalierxav1 et cest pas du Pfizer..,tweet,0,0,pfizer
1401172482929922051,2021-06-05 13:42:07,delphinirvana,"not me pendant le quart d'heure de surveillance en train de googliser ""pfizer effets secondaires""",tweet,2,0,pfizer
1401145164840816652,2021-06-05 11:53:33,Traknard91,"J'ai était vacciné contre le covid 19 ,vaccin Pfizer effet secondaire douleur musculaire 😅",tweet,0,0,pfizer
1401115235524689922,2021-06-05 09:54:38,NathalieMercer6,@pepitaduurbain Attends quand je vais faire la 2ème injection pfizer ça rend malade je verrais,tweet,1,0,pfizer
1400878350952960018,2021-06-04 18:13:20,mmvthilde,"Et c’est qui la petite caisse éclatée après sa première injection de Pfizer ? 
Bah c’est bibi hein",tweet,0,0,pfizer
1400866896149422084,2021-06-04 17:27:49,nutzuka,@DIVIZIO1 Monsieur divizio il serait temps que les médias parlent des paralysie faciale suite au vaccin Pfizer dont j'en fais parti c'est terrible ils ont parle nulle part.,tweet,1,0,pfizer
1400829829025517570,2021-06-04 15:00:32,DoxYs_,"Vacciné aujourd'hui et tout va bien. ✅

Malheureusement j'ai pas reçu le forfait 5G et le bras bionique magnétique promis par tous les antivax.

Peut être à la 2e dose.👀 

#Vaccin #TousAntiCovid #Pfizer https://t.co/6lqvGLhevy",tweet,0,0,pfizer
1400776965259411456,2021-06-04 11:30:28,vponsinet,"Vaccination #COVID19 💉terminée !
✅ #AstraZeneca en mars
✅ #Pfizer #Comirnaty hier matin
➡️ À moi les concerts d’Indochine et les terrasses 🍻🍹 https://t.co/QUqQYYyoIL",tweet,2,0,pfizer
1400763450859655173,2021-06-04 10:36:46,dafrd,"@MatZagrodzki @MrDomFree Seconde Pfizer, 48h de syndromes grippaux pour ma part.",tweet,0,0,pfizer
1400760520827969539,2021-06-04 10:25:07,BlackBird87000,J'ai même pas eu mal... 1ère injection #Pfizer... #Covid19 🙏,tweet,18,1,pfizer
1400745817523240964,2021-06-04 09:26:42,AdyDug,"Elle est Pfizer -@Les_Goguettes (en trio mais à quatre) https://t.co/wMCrrxoeub via @YouTube
#VaccinationCovid #Vaccination #Pfizer",tweet,0,0,pfizer
1400745470490730497,2021-06-04 09:25:19,AssociationAJDB,"Aujourd’hui à partir de 10H jusqu’à 15H45 : 

Vaccination avec une 1ère injection Pfizer aux quartier des Malassis 💉 

Venez avec :

- Votre carte d’identité 👤
- Votre carte vitale 🩺

Et votre bonne humeur ! 😁

📍Ancienne place du 8 Mai 1945 https://t.co/eOdTyd1j93",tweet,0,0,pfizer
1400742706029240321,2021-06-04 09:14:20,baborlelefan,"vacciné hier par Marie s'infiltre hier dans le cadre de l'un de ses fameux happening, elle était déguisé en médecin et m'a injecté du liquide vaisselle à la place du Pfizer ! quelle audace, quel humour, je l'adore, merci Marie pour la barre de rire !",tweet,2265,167,pfizer
1400737576403755016,2021-06-04 08:53:57,baborlelefan,très très grave pfizer .. des explications ?!  https://t.co/oEvPtJNu5I,tweet,58,5,pfizer
1400737412435828739,2021-06-04 08:53:18,ansart4,Covid-19 : Pfizer teste un médicament qui pourrait être disponible d’ici la fin de l’année https://t.co/S17GeXd4sD via @Midilibre,tweet,0,0,pfizer
1400732917001768962,2021-06-04 08:35:26,hervelegall,Encore un max de spots vaccination #pfizer sur Arena Brest du 14 au 20 juin !,tweet,0,0,pfizer
