id,date,screenName,texte,type,nbre_like,nbre_retweet,type_vaccin
1403808013715230726,2021-06-12 20:14:46,falyfamalagasy,"#Covid19 : le vaccin Pfizer soupçonné de provoquer des myocardites... J'aime bien le ""La plupart du temps on récupère complètement"" https://t.co/sIZS0iQptn",tweet,0,0,pfizer
1403798938470191107,2021-06-12 19:38:42,msieuramer,On fait la promotion de Pfizer bande de fous,tweet,1,1,pfizer
1403786190118080514,2021-06-12 18:48:03,BrunoBoulay,@sudokuvariante @CarpentierLulu @DIVIZIO1 Ouais Pfizer à déjà commander les flacons. 😂😂😂,tweet,0,0,pfizer
1403747358555443208,2021-06-12 16:13:45,strumchloupfer,@Bpri19 @PeterbobBaze @GaumontRene La grosseur de leur enveloppe pfizer dépend de la peur qu'ils ont réussi à susciter dans la population et de la quantité de vaccinés spike,tweet,1,0,pfizer
1403721177353367562,2021-06-12 14:29:43,Gegedu690001,1ère injection Pfizer au parc ol #ol #OlympiqueLyonnais #weekend #injection #confinement #deconfinement #covid #vaccination #lyon #decines #parcol #visite #tribune #pfizer https://t.co/WYi9utHzcJ,tweet,0,0,pfizer
1403716616236437504,2021-06-12 14:11:35,Jsp_77184,"J'ai mon #PassSanitaire, 2 vaccins reçus #AstraZeneca #Pfizer.
Et vous, vous avez eu vos 2 doses ?",tweet,0,0,pfizer
1403715802235297798,2021-06-12 14:08:21,papypaul2014,@MercierJeremie Heu ya piquousés et piquousés!Fier de ton  iPhone? ben tu es de la caste des Pfizer! Heu tu es Astrazeneca? Ben dis pas que ton iPhone c'est un recyclé...Tu veux spoutnick5? méfie ton Samsung est sur écoutes...t'as choisi vaccin chinois? ton Huawei ne risque aucun effet second!,tweet,1,0,pfizer
1403707701096505347,2021-06-12 13:36:10,NathalieMercer6,@rumeursduweb @FHDR @Tsad La 2ème injection 💉 Pfizer le 2juillet,tweet,1,0,pfizer
1403706280859033601,2021-06-12 13:30:31,RiguierS,"Heureuse de vivre dans un pays où la vaccination n'est pas un luxe, confiante. L'ARN messager grand espoir pour d'autres maladies comme les cancers.
Honnêtement très dur la 2ème dose 💉🤒, mais juste 24h00 à passer #asnieroise💪

https://t.co/qKz6A4XRet",tweet,0,0,pfizer
1403705634453852168,2021-06-12 13:27:57,NathalieMercer6,@rumeursduweb @FHDR @Tsad Moi sur le site c'était pfizer,tweet,1,0,pfizer
1403661275230523392,2021-06-12 10:31:41,RicodelPrado2,"Merde, je suis tracé maintenant… @Pfizer_France #COVID19 #Pfizer https://t.co/dV7HC3fIS2",tweet,0,0,pfizer
1403640275549949955,2021-06-12 09:08:14,psychofailure,bon this girl is on pfizer mais this girl a le bras droit défoncé,tweet,5,0,pfizer
1403636537405939717,2021-06-12 08:53:23,RealionelB,4G Montriond avec Pfizer Sosh 🔥 https://t.co/BxyBfAWouI,tweet,3,0,pfizer
1403471942825426944,2021-06-11 21:59:21,Christ_Jordan,Pq vous dites que Djoko pique Pfizer à chq pause buvette c pas 2 doses normalement ?,tweet,0,0,pfizer
1403457441283588107,2021-06-11 21:01:43,petit_ange_2810,Pfizer * correcteur de merde la,tweet,0,0,pfizer
1403435712800858117,2021-06-11 19:35:23,Epcocorico,"@fleurdotone @Fraslin Les vaccinés disent qu'on leur dit que le vaccin les protège des formes graves du covid : il s'avère que c'est faux, toutes les études le prouvent. Pour Pfizer c'est écrit dans le Vidal. Veran aussi l'a écrit au Conseil d'Etat. Donc ces vaccinés ont trompés et abuses.",tweet,3,0,pfizer
1403424079810596869,2021-06-11 18:49:09,lavoixdelusager,"➡️ L’hôpital peut vous appeler à partir de 17h30 pour bénéficier d’une dose restante de vaccin #pfizer❗️Le second rendez-vous sera évidemment fixé à cette première injection 👍🏼

2/3",tweet,0,0,pfizer
1403308753991184392,2021-06-11 11:10:53,DLain83,"Ce matin, Noelie, 94 ans, de Gonfaron a reçu la 10.000 injection de Pfizer. Très heureux que le centre de vaccination du Luc poursuive son action de lutte contre la propagation du virus. Merci aux équipes. 
#ensembleagissons https://t.co/2bW0VfTbjb",tweet,3,0,pfizer
1403285863937843201,2021-06-11 09:39:56,MurielleLombard,"@Avalonstarship1 @jlgervaise @philippefroguel @nicolasberrod @SebastianEPayne un papier dans Nature qui vient de sortir sur l'efficacité du vaccin BioNTech Pfizer sur les differents variants dont le Delta (indien). 

https://t.co/9xTYVsWWx3",tweet,0,0,pfizer
1403267951546048514,2021-06-11 08:28:45,VidoandMC,"Vacciné #1èredose #Pfizer 
Yeahhhhhhhh",tweet,6,0,pfizer
1403020972790325258,2021-06-10 16:07:21,DCalicis,"L’équipe du centre de vaccination de la #Gaillac vous rappelle qu’il y a des rendez-vous PFIZER disponibles demain vendredi 11 juin 2021 et la semaine prochaine !
➡️ au 05 63 81 20 21 
➡️ ou sur @covidliste https://t.co/uUxPPdxmff",tweet,0,1,pfizer
1402991112688586754,2021-06-10 14:08:42,ambrassmoi_,"je reviens sur ma décision hors de question qu’on m’administre le pfizer s’il fait grossir les seins jv pt un câble https://t.co/IXq1KuXF3K
j’ai fini roaccutane ca veut dire que jvais pas tarder à aller me faire vaccinew !! :D",quote,0,0,pfizer
1402978953275482115,2021-06-10 13:20:23,LMDQ75,@lionel_case Statut vaccinal et profil des personnes hospitalisées en réa et dc covid. Tj du monde pour rapporter un dc ou une hospital après vaccination Pfizer 😉,tweet,2,0,pfizer
1402945662178705408,2021-06-10 11:08:05,edmondclt,Waw la deuxième dose Pfizer elle tabasse le lendemain,tweet,2,0,pfizer
1402943678629490689,2021-06-10 11:00:13,Epcocorico,@Barabbaas @NicolasPichot6 @ADv_in21 @ComploTisss Une amie a une maladie du sang plaquettes pour laquelle elle est traitée. Pareil elle a suivi la recommandation de hématologue...donc Pfizer. 🤨 Pour le moment par chance pas d'effets secondaires.,tweet,0,0,pfizer
1402932177579433984,2021-06-10 10:14:31,Dylan_Devillers,Centre de #vaccination anti #covid Porte de Versailles super bien organisé par les @PompiersFR @PompiersParis ! #professionnels #sympathiques #beauxgosses #militaires #pfizer https://t.co/03Tfw4C91O,tweet,2,0,pfizer
1402914319357128707,2021-06-10 09:03:33,claedeusFR,"✅ 1ère dose Pfizer pour la miss et moi 

Super organisation au Zénith de Dijon  🥳",tweet,4,0,pfizer
1402909551192592385,2021-06-10 08:44:36,BrunoBoulay,@DIVIZIO1 Bah pas sur Pfizer avait dit 80 avec une dose. Donc 320 avec 4  😇,tweet,0,0,pfizer
1402906000991129602,2021-06-10 08:30:30,Tikaiz93,"Dans la queue pour me faire pfizer, un peu de pression là",tweet,5,1,pfizer
1402904897851379712,2021-06-10 08:26:07,EllkeSne,"@GladiiMelora Le Pfizer.
J'espère aussi, parce que vraiment CEY NUL",tweet,1,0,pfizer
1402902272305156098,2021-06-10 08:15:41,Epcocorico,@Revahb1 Très bon reportage pour sensibiliser le grand public. Il faudrait également une enquête sur les autres vaccins notamment Pfizer très prisé en France !,tweet,1,1,pfizer
1402895580402229249,2021-06-10 07:49:05,Brice_Josselin,"💉 Vaccination PFIZER 2/2 ✅ encore bravo à la @MetropoleNCA pour l’organisation 👌
@VilledeNice @cestrosi #ILoveNice #Nice06 #Vaccin #COVID https://t.co/JGdEtPF4ED",tweet,3,0,pfizer
1402770202597724163,2021-06-09 23:30:53,ansart4,EN DIRECT - Washington va acheter 500 millions de doses de vaccins de Pfizer pour les donner à d'autres pays  : https://t.co/iYLODcNca6,tweet,0,0,pfizer
1402727734527336453,2021-06-09 20:42:07,beatricelecoz,"On peut faire astra/pfizer .?? ma sœur n’arrive pas à avoir 2ème Astrazaneca ( plus de dose dans les pharmacies) https://t.co/t3MIeq5FFx
@virginievotier C'est 9 semaines et j'ai reçu Astra / Pfizer. Il aurait pu démarrer plus tôt.",quote,0,0,pfizer
1402660919763742720,2021-06-09 16:16:38,Demolo4,@MiandaMH @AngelKazadi C cool même moi j ai reçu mon premier vaccin Pfizer ce lundi  sans problème ni fièvre.. et je me sens super en forme.vive les vacances d  été ...,tweet,1,0,pfizer
1402657190893195272,2021-06-09 16:01:49,MurielleLombard,@Avalonstarship1 @jlgervaise @philippefroguel @nicolasberrod @SebastianEPayne et quand Pfizer publie son etude ?,tweet,0,0,pfizer
1402643692133945346,2021-06-09 15:08:10,olyvier1077,@ArnaudBENEY @SebWalrus C'est possible ma femme a reçu l'astra tout au début de la campagne en 1ere injection et là pour la 2eme elle a eu Pfizer,tweet,2,0,pfizer
1402622744097923081,2021-06-09 13:44:56,Epcocorico,@ClaireJardin1 Parce que donner des milliards à Pfizer fera repartir l'économie de la France ???,tweet,2,0,pfizer
1402620836134232064,2021-06-09 13:37:21,ManonGoupil3,"J'ai enfin la 5g 😎 fini les galères même en ville, merci Pfizer 😎",tweet,6,0,pfizer
1402614388662706176,2021-06-09 13:11:44,ronezjim,"Pfizer, deuxième ! #herault @SDIS34 https://t.co/hwsaPiSHyq",tweet,0,0,pfizer
1402567857750347776,2021-06-09 10:06:50,Deepspeaks_,"'est fait le 1er injection.. #Pfizer  a @StadeFrance ...

Merci infiniment a ensemble d'equipe  @CroixRouge   Medcins,  @ARS_IDF  @APHP et tous... 

Merci a @gouvernementFR @EmmanuelMacron @olivierveran 

#Vaccination

🙏🇫🇷🇫🇷🙏 https://t.co/5U2Wg8jGUd",tweet,0,0,pfizer
1402554225754836994,2021-06-09 09:12:40,sammy88249403,"@McfaddenBrandy @RealCandaceO @pfizer Pourquoi se faire vacciner après un Covid confirmé, vous cherchez le suicide ?",tweet,0,0,pfizer
1402543336628666377,2021-06-09 08:29:24,MaxJeanselme,"@Dupont_Damien Exactement moi 1ere Pfizer rien, 2em petite fatigue passagère",tweet,0,0,pfizer
1402522300260532225,2021-06-09 07:05:48,Epcocorico,"@Fleodo75 @Brevesdepresse Jusqu'à peu il n'était pas déficitaire et il dépend  strictement de l'activité économique comme vous le savez . Arrêter l'économie comme l'a fait Macron pendant un an était criminel. Il l'a fait sans scrupule pour enrichir les Bezos, Gates, Pfizer, Arnault, etc.",tweet,1,0,pfizer
