id,date,screenName,texte,type,nbre_like,nbre_retweet,type_vaccin
1459275177271959559,2021-11-12 21:41:28,joyPC37,"Après le 2nd shoot de #Pfizer : 4 mois sans mes règles 
On est clairement sur un bon produit pour les jeunes
@GilbertDeray @SandrineTreiner @GeWoessner @Mozarettha @DocArnica @Nouvelle_Donne @perrinegoulet @JeunesMacron @LeaSalame @francoisedegois @lyonmag @paul_denton",tweet,0,0,pfizer
1459271967392075780,2021-11-12 21:28:43,RyukPomme,"Encore un truc complotiste qui ne l'est plus. Quand on disait qu'une personne ayant eu le Covid était  protégée, on nous disait non (ah c'est sûr, ça ne remplirait pas les caisses de Pfizer) https://t.co/WC2bAOl42d
D'après une étude publiée dans la revue scientifique Nature, nos anticorps post-infection nous protègent contre une réinfection au Covid-19 durant une période allant d'un an et demi à deux ans.
https://t.co/MzDie0skPe via @BFMTV",quote,0,0,pfizer
1459259184508243968,2021-11-12 20:37:55,troika81100,"@GabinJean3 On vit dans un monde de cinglés, les médecins ne sont pas d'accord entr'eux pour les effets secondaires Ce marin un monsieur à témoigné sa femme est décédée en 1 mois à cause du vaccin Pfizer. Elle n'avait pas de maladie ils rentrait de vacances,piqûre morte en a peine 1 mois pff",tweet,19,5,pfizer
1459236248552361987,2021-11-12 19:06:47,troika81100,@AlainNothomb @Ccesoir @fogiesbert Oui j'écris Pfizer.......!,tweet,0,0,pfizer
1459232763576475655,2021-11-12 18:52:56,chamanrouge,@c_pairot @Anne_Hidalgo @David_Belliard @RasLeScoot Prenez du #pfizer et mangez des #oeufs,tweet,0,0,pfizer
1459231392169144324,2021-11-12 18:47:29,helautou,"jeu d’acteur en français, je joue l’infirmière que me donnera le troisième dosage pfizer:

T’AS LA FIÈVRE? NEZ QUI COULE? COU QUI GRATTE? PARFAIT VAS-Y DONNE MOI TON BRAS J’AI DES AUTRES PATIENTS QUI ZATTEND https://t.co/piBZvs6uPP",tweet,0,0,pfizer
1459192505912733697,2021-11-12 16:12:58,Gab_Manet,"@JLesgards Je ne veux pas croire à une intention malveillante. Ils se sont trompés, ils savent que la vax tué beaucoup de jeunes (arrêté de la vas Pfizer à Taïwan) mais ils persistent dans leur erreur par un biais cognitif connu: N'Avoue jamais. https://t.co/oJOqvqPoAZ",tweet,11,5,pfizer
1459189789840793602,2021-11-12 16:02:10,NoName97503895,"@hakopalestine @HichemE34521278 @SorrentoFrance2 @moi2626 @AgagBoudjahlat Alors explique moi pk L'Algérie envoie du pétrole gratis avec Israël, et reçoit aussi des centaines de milliers de doses Pfizer de la part de cet état. Si tu nies, c'est que tu ne connais pas grand choses..",tweet,0,0,pfizer
1459175322323193889,2021-11-12 15:04:41,HelCach,"@JeanPierreG9 4 ou 5 cas de Creutzfeld Jacob depuis quelques mois qui ""pourraient"" être imputés au vaccin Pfizer  cf témoignage dans #HDPros de ce matin vendredi 12/11",tweet,4,3,pfizer
1459158969201606656,2021-11-12 13:59:42,Defrais1,"@DidierMaisto Comme vous le suggéré, le risque pour les patients et les gros bénéfices pour Pfizer",tweet,0,0,pfizer
